t,x,y,z,dx_dt,dy_dt,dz_dt
8.300830083008301497e-01,-8.227372219515411977e-01,8.090267717792741786e-01,3.115051311775664591e-02,-8.401772848970308072e-01,-6.609318675956863398e-01,-3.186611396081007186e-03
8.400840084008400765e-01,-8.311064597122790332e-01,8.023682429418022011e-01,3.111838446783471435e-02,-8.334866274096368599e-01,-6.706328111239185930e-01,-3.237481813685549881e-03
8.500850085008501145e-01,-8.394082974045380396e-01,7.956129343196354231e-01,3.108577623980958091e-02,-8.266987105594449936e-01,-6.802857105406109328e-01,-3.282583073871608859e-03
8.600860086008601524e-01,-8.476417650437373386e-01,7.887613317414352565e-01,3.105274444302125528e-02,-8.198140761844565638e-01,-6.898894986954502428e-01,-3.322246434355774491e-03
8.700870087008700793e-01,-8.558058980987618414e-01,7.818139316973417019e-01,3.101934189521105695e-02,-8.128332735925527519e-01,-6.994431117592935232e-01,-3.356784551766661684e-03
8.800880088008801172e-01,-8.638997376009991402e-01,7.747712412824907524e-01,3.098561816201069602e-02,-8.057568594445014831e-01,-7.089454893445009676e-01,-3.386490923026758137e-03
8.900890089008901551e-01,-8.719223301168603779e-01,7.676337781993179954e-01,3.095162039809853591e-02,-7.985853985974165070e-01,-7.183955744769967566e-01,-3.411645247564265571e-03
9.000900090009000820e-01,-8.798727279475337948e-01,7.604020706930967322e-01,3.091739276060645469e-02,-7.913194634537031869e-01,-7.277923138089144039e-01,-3.432509444756925987e-03
9.100910091009101199e-01,-8.877499891610610705e-01,7.530766575280226638e-01,3.088297685557264693e-02,-7.839596343835952830e-01,-7.371346576554564933e-01,-3.449330445560006009e-03
9.200920092009201579e-01,-8.955531776528129484e-01,7.456580879447752830e-01,3.084841197615615510e-02,-7.765064999209314589e-01,-7.464215600638578474e-01,-3.462341634879823049e-03
9.300930093009300847e-01,-9.032813632351294197e-01,7.381469216234251007e-01,3.081373519671240513e-02,-7.689606568201374781e-01,-7.556519789104443330e-01,-3.471763356113377608e-03
9.400940094009401227e-01,-9.109336217521106782e-01,7.305437286509471884e-01,3.077898134255927995e-02,-7.613227099935064857e-01,-7.648248760219211739e-01,-3.477802600806045863e-03
9.500950095009501606e-01,-9.185090351505214024e-01,7.228490894806958167e-01,3.074418317664804473e-02,-7.535932726573438822e-01,-7.739392172543821946e-01,-3.480654132967747616e-03
9.600960096009600875e-01,-9.260066915645298602e-01,7.150635948938713904e-01,3.070937151645140514e-02,-7.457729664103227574e-01,-7.829939725857555377e-01,-3.480501161748195127e-03
9.700970097009701254e-01,-9.334256853504344642e-01,7.071878459270234396e-01,3.067457553337051696e-02,-7.378624214603939357e-01,-7.919881161650297319e-01,-3.477517230282001215e-03
9.800980098009801633e-01,-9.407651172044757537e-01,6.992224538559804747e-01,3.063982274892127280e-02,-7.298622766049017718e-01,-8.009206264332796588e-01,-3.471866108364529691e-03
9.900990099009902012e-01,-9.480240942670203896e-01,6.911680401705218024e-01,3.060513908066141847e-02,-7.217731792511832278e-01,-8.097904862329160514e-01,-3.463702016630293423e-03
1.000100010001000239e+00,-9.552017301900389556e-01,6.830252365241236134e-01,3.057054902207018143e-02,-7.135957855461938504e-01,-8.185966828852142552e-01,-3.453170744540878800e-03
1.010101010101010166e+00,-9.622971452238598955e-01,6.747946846878529747e-01,3.053607572698486747e-02,-7.053307604148378873e-01,-8.273382082862892339e-01,-3.440410142230870827e-03
1.020102010201020093e+00,-9.693094663430715796e-01,6.664770364166682226e-01,3.050174063068057662e-02,-6.969787770473487853e-01,-8.360140590597379129e-01,-3.425547528139061271e-03
1.030103010301030242e+00,-9.762378272900686937e-01,6.580729534999890662e-01,3.046756404570802670e-02,-6.885405175456971172e-01,-8.446232365900708805e-01,-3.408703587338773877e-03
1.040104010401040169e+00,-9.830813686593755651e-01,6.495831077210263427e-01,3.043356527508110643e-02,-6.800166729961074630e-01,-8.531647471151703188e-01,-3.389993071773483857e-03
1.050105010501050096e+00,-9.898392379910716521e-01,6.410081807957499489e-01,3.039976261776070748e-02,-6.714079434135106217e-01,-8.616376018319216179e-01,-3.369524785909738807e-03
1.060106010601060245e+00,-9.965105898652976135e-01,6.323488643104812068e-01,3.036617336216455854e-02,-6.627150376726457237e-01,-8.700408170032013500e-01,-3.347401493420470997e-03
1.070107010701070172e+00,-1.003094586041754166e+00,6.236058595639152324e-01,3.033281325120412014e-02,-6.539386728151193040e-01,-8.783734141289710751e-01,-3.323716283561900520e-03
1.080108010801080098e+00,-1.009590395478596747e+00,6.147798776653196073e-01,3.029969736391055837e-02,-6.450795750292301900e-01,-8.866344199455328257e-01,-3.298558418802444159e-03
1.090109010901090247e+00,-1.015997194433333917e+00,6.058716394585462739e-01,3.026684003385298957e-02,-6.361384794923992114e-01,-8.948228665416246841e-01,-3.272012751719177714e-03
1.100110011001100174e+00,-1.022314166556554715e+00,5.968818754612763566e-01,3.023425485178565450e-02,-6.271161303130620146e-01,-9.029377914642994218e-01,-3.244159705439952912e-03
1.110111011101110101e+00,-1.028540502983645855e+00,5.878113257805331893e-01,3.020195460975425711e-02,-6.180132803902874672e-01,-9.109782378275391723e-01,-3.215074861005168261e-03
1.120112011201120250e+00,-1.034675402433578029e+00,5.786607399666749973e-01,3.016995102567271436e-02,-6.088306909923477672e-01,-9.189432544402430514e-01,-3.184827065223716502e-03
1.130113011301130177e+00,-1.040718071278549983e+00,5.694308771208734798e-01,3.013825537243068620e-02,-5.995691324933041244e-01,-9.268318958543753094e-01,-3.153482625751380386e-03
1.140114011401140104e+00,-1.046667723637838332e+00,5.601225057920596884e-01,3.010687835574561363e-02,-5.902293841478053471e-01,-9.346432224794263277e-01,-3.121104462199542073e-03
1.150115011501150253e+00,-1.052523581466523916e+00,5.507364039184245996e-01,3.007583015100222246e-02,-5.808122340694268360e-01,-9.423763006828389521e-01,-3.087752326824372284e-03
1.160116011601160180e+00,-1.058284874643113493e+00,5.412733587158098381e-01,3.004512026890675605e-02,-5.713184789847165490e-01,-9.500302028999515480e-01,-3.053481870185753566e-03
1.170117011701170107e+00,-1.063950841057174301e+00,5.317341665680321849e-01,3.001475742745826278e-02,-5.617489239954904789e-01,-9.576040077435679088e-01,-3.018343745583379478e-03
1.180118011801180256e+00,-1.069520726698222512e+00,5.221196331127635482e-01,2.998475006135696216e-02,-5.521043831741204722e-01,-9.650968000756697807e-01,-2.982387025221744370e-03
1.190119011901190182e+00,-1.074993785743322272e+00,5.124305731262787100e-01,2.995510617578676926e-02,-5.423856793020654932e-01,-9.725076711180664635e-01,-2.945658192236771944e-03
1.200120012001200109e+00,-1.080369280645045782e+00,5.026678104649607848e-01,2.992583338522925018e-02,-5.325936438501900350e-01,-9.798357185520536472e-01,-2.908201382910341470e-03
1.210121012101210258e+00,-1.085646482199781548e+00,4.928321779130393487e-01,2.989693873340756522e-02,-5.227291166464469452e-01,-9.870800466171736343e-01,-2.870057144889442968e-03
1.220122012201220185e+00,-1.090824669638002176e+00,4.829245171367509970e-01,2.986842876319672699e-02,-5.127929458999477275e-01,-9.942397662106519096e-01,-2.831262888441626879e-03
1.230123012301230112e+00,-1.095903130733497655e+00,4.729456787303920606e-01,2.984030980237600481e-02,-5.027859885327680134e-01,-1.001313994987419242e+00,-2.791854808024574197e-03
1.240124012401240261e+00,-1.100881161878811243e+00,4.628965220986084872e-01,2.981258786472841538e-02,-4.927091099633368887e-01,-1.008301857459089623e+00,-2.751867196088331191e-03
1.250125012501250188e+00,-1.105758068172327135e+00,4.527779153951330682e-01,2.978526868372528488e-02,-4.825631840788583427e-01,-1.015202485093300577e+00,-2.711332656943898911e-03
1.260126012601260115e+00,-1.110533163476838281e+00,4.425907353805124123e-01,2.975835760659989102e-02,-4.723490929871123067e-01,-1.022015016400735776e+00,-2.670281370351801353e-03
1.270127012701270264e+00,-1.115205770482004199e+00,4.323358672908746980e-01,2.973185950744626840e-02,-4.620677267983209768e-01,-1.028738597023829193e+00,-2.628740482308045134e-03
1.280128012801280191e+00,-1.119775220857793130e+00,4.220142049651744443e-01,2.970577914577784626e-02,-4.517199841109522662e-01,-1.035372379864758274e+00,-2.586736534649941577e-03
1.290129012901290118e+00,-1.124240855310960407e+00,4.116266506969770145e-01,2.968012105036021628e-02,-4.413067717473372342e-01,-1.041915525171565049e+00,-2.544294662443019606e-03
1.300130013001300266e+00,-1.128602023669550869e+00,4.011741151658537174e-01,2.965488954024183416e-02,-4.308290047060955308e-01,-1.048367200636380225e+00,-2.501438726192378725e-03
1.310131013101310193e+00,-1.132858084944406540e+00,3.906575173232078035e-01,2.963008868875839988e-02,-4.202876060119661861e-01,-1.054726581479765057e+00,-2.458191054602654191e-03
1.320132013201320120e+00,-1.137008407355915462e+00,3.800777842083293279e-01,2.960572219885100956e-02,-4.096835064071803201e-01,-1.060992850514249630e+00,-2.414571579387986278e-03
1.330133013301330269e+00,-1.141052368517934790e+00,3.694358510799287121e-01,2.958179367939550719e-02,-3.990176447593242193e-01,-1.067165198301949003e+00,-2.370599715437488042e-03
1.340134013401340196e+00,-1.144989355486864424e+00,3.587326612770057599e-01,2.955830657748256818e-02,-3.882909678544883558e-01,-1.073242823231463250e+00,-2.326293889085562228e-03
1.350135013501350123e+00,-1.148818764840534801e+00,3.479691661395563074e-01,2.953526418676220150e-02,-3.775044303263185297e-01,-1.079224931612623450e+00,-2.281671586819578046e-03
1.360136013601360272e+00,-1.152540002744624870e+00,3.371463249101643855e-01,2.951266963940453458e-02,-3.666589945495689062e-01,-1.085110737762591926e+00,-2.236749291806366946e-03
1.370137013701370199e+00,-1.156152484946356918e+00,3.262651045160016028e-01,2.949052578135305872e-02,-3.557556302973546858e-01,-1.090899464043156630e+00,-2.191541618198344921e-03
1.380138013801380126e+00,-1.159655636973892623e+00,3.153264796891018240e-01,2.946883537769423231e-02,-3.447953150667960598e-01,-1.096590341036072225e+00,-2.146062713655888521e-03
1.390139013901390275e+00,-1.163048894190061633e+00,3.043314328470873575e-01,2.944760108425563058e-02,-3.337790339313430055e-01,-1.102182607620644239e+00,-2.100326057850654404e-03
1.400140014001400202e+00,-1.166331701861667236e+00,2.932809539995103743e-01,2.942682544420139462e-02,-3.227077794437117619e-01,-1.107675511061765095e+00,-2.054344432669552578e-03
1.410141014101410128e+00,-1.169503515230535751e+00,2.821760406592304093e-01,2.940651089208249150e-02,-3.115825515513129251e-01,-1.113068307098689758e+00,-2.008129943825681663e-03
1.420142014201420277e+00,-1.172563799485338842e+00,2.710176976155371786e-01,2.938665965208419120e-02,-3.004043572676213802e-01,-1.118360259962231318e+00,-1.961693312710233172e-03
1.430143014301430204e+00,-1.175512029952578308e+00,2.598069370126442346e-01,2.936727386996196634e-02,-2.891742108826061974e-01,-1.123550642550049439e+00,-1.915044779835506361e-03
1.440144014401440131e+00,-1.178347692170537808e+00,2.485447782651140913e-01,2.934835562018885471e-02,-2.778931338853029565e-01,-1.128638736517515007e+00,-1.868194149126228831e-03
1.450145014501450280e+00,-1.181070281944870626e+00,2.372322479476935420e-01,2.932990689351836627e-02,-2.665621548412119290e-01,-1.133623832355331817e+00,-1.821150697199208635e-03
1.460146014601460207e+00,-1.183679305421920125e+00,2.258703797104161248e-01,2.931192960471738773e-02,-2.551823093151335264e-01,-1.138505229479836789e+00,-1.773923221977197207e-03
1.470147014701470134e+00,-1.186174279051657177e+00,2.144602140610308294e-01,2.929442553046352274e-02,-2.437546395914943487e-01,-1.143282236239451022e+00,-1.726519607472082329e-03
1.480148014801480283e+00,-1.188554729745657568e+00,2.030027983818537274e-01,2.927739637063630704e-02,-2.322801947524900379e-01,-1.147954170069286794e+00,-1.678947243585082738e-03
1.490149014901490210e+00,-1.190820194987942671e+00,1.914991868899659222e-01,2.926084377978719828e-02,-2.207600306697531101e-01,-1.152520357609949420e+00,-1.631213240144951948e-03
1.500150015001500137e+00,-1.192970222872104413e+00,1.799504405088080128e-01,2.924476935197179925e-02,-2.091952098607798016e-01,-1.156980134770342783e+00,-1.583324317904338807e-03
1.510151015101510286e+00,-1.195004372173495089e+00,1.683576267819401895e-01,2.922917462778932760e-02,-1.975868014097295067e-01,-1.161332846817107134e+00,-1.535286853630024595e-03
1.520152015201520213e+00,-1.196922212323831225e+00,1.567218196824958221e-01,2.921406105730268640e-02,-1.859358807397984981e-01,-1.165577848387332027e+00,-1.487106618295513938e-03
1.530153015301530139e+00,-1.198723323505348937e+00,1.450440995504150843e-01,2.919943001700760210e-02,-1.742435295674226725e-01,-1.169714503595265853e+00,-1.438788891392539515e-03
1.540154015401540288e+00,-1.200407296812777247e+00,1.333255531021699802e-01,2.918528285746319756e-02,-1.625108359596331709e-01,-1.173742186192343162e+00,-1.390338789183903634e-03
1.550155015501550215e+00,-1.201973734269711880e+00,1.215672732848641358e-01,2.917162088509642551e-02,-1.507388941699605578e-01,-1.177660279612739114e+00,-1.341761135009278405e-03
1.560156015601560142e+00,-1.203422248896544033e+00,1.097703591854348598e-01,2.915844536731447903e-02,-1.389288045527493354e-01,-1.181468177059457059e+00,-1.293060491953129665e-03
1.570157015701570291e+00,-1.204752464693310321e+00,9.793591585900965346e-02,2.914575751187895372e-02,-1.270816733708886037e-01,-1.185165281521508351e+00,-1.244241015499775171e-03
